RECENT EARTHQUAKES IN TURKEY
KOERI REGIONAL EARTHQUAKE-TSUNAMI MONITORING CENTER
(QUICK EPICENTER DETERMINATIONS)
                                                        Magnitude
Date       Time      Latit(N)  Long(E)   Depth(km)     MD   ML   Mw    Region
---------- --------  --------  -------   ----------    ------------    -----------
2023.02.06 03:17:32  37.1757   37.0850       10.6      -.-  4.2  -.-   FAKE1 (KAHRAMANMARAS)                             Quick
2023.02.06 02:17:32  37.1757   37.0850       10.6      -.-  5.5  -.-   FAKE2 (KAHRAMANMARAS)                             Quick
2023.02.06 01:42:32  37.1757   37.0850       10.6      -.-  4.5  -.-   FAKE3 (KAHRAMANMARAS)                             Quick
2023.02.06 01:27:32  37.1757   37.0850       10.6      -.-  3.4  -.-   FAKE4 (KAHRAMANMARAS)                             Quick
2023.02.06 01:23:32  37.1757   37.0850       10.6      -.-  5.4  5.5   FAKE5 (KAHRAMANMARAS)                             Quick
2023.02.06 01:17:32  37.1757   37.0850       10.6      -.-  7.5  7.7   PAZARCIK (KAHRAMANMARAS)                          Quick
2022.04.11 20:47:49  36.7937   34.6333       19.2      -.-  1.4  -.-   MEDITERRANEAN SEA (MERSIN)                        Quick
2022.04.11 20:01:23  36.9300   27.6663        3.0      -.-  1.5  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.11 19:50:54  37.0148   28.4202        8.1      -.-  1.4  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.11 19:36:59  39.5320   25.9337       11.1      -.-  1.6  -.-   GULPINAR ACIKLARI-CANAKKALE (AEGEAN SEA)          Quick
2022.04.11 19:17:42  37.0325   28.4290        5.0      -.-  1.4  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.11 19:12:41  37.4210   36.2942        4.8      -.-  1.7  -.-   BEKTASLI-ANDIRIN (KAHRAMANMARAS)                  Quick
2022.04.11 18:01:36  35.9877   26.6485       87.9      -.-  3.4  -.-   MEDITERRANEAN SEA                                 Quick
2022.04.11 17:47:38  38.6172   39.6597       11.5      -.-  1.8  -.-   GEDIKYOLU-(ELAZIG)                                Quick
2022.04.11 17:38:42  42.2577   31.0687       12.9      -.-  4.5  -.-   KARADENIZ                                         Quick
2022.04.11 16:30:02  37.0125   28.3852       10.1      -.-  1.5  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.11 16:16:42  38.9748   42.5172        6.6      -.-  2.0  -.-   TATARGAZI-MALAZGIRT (MUS)                         Quick
2022.04.11 15:37:58  34.8272   32.8943        8.8      -.-  3.2  -.-   KIBRIS RUM KESIMI                                 Quick
2022.04.11 15:32:53  37.8065   27.3147        3.4      -.-  1.5  -.-   SOGUCAK-KUSADASI (AYDIN)                          Quick
2022.04.11 15:32:28  36.9655   27.6493        5.4      -.-  1.5  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.11 15:31:21  37.8120   27.3145        3.3      -.-  1.7  -.-   SOGUCAK-KUSADASI (AYDIN)                          Quick
2022.04.11 14:51:06  36.1098   29.1043       10.8      -.-  2.1  -.-   MEDITERRANEAN SEA                                 Quick
2022.04.11 14:46:47  37.0202   28.4093       15.3      -.-  1.8  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.11 14:30:30  39.0335   29.7347        9.8      -.-  2.3  -.-   TOKUL-ASLANAPA (KUTAHYA)                          Quick
2022.04.11 13:54:29  36.9522   27.6215       12.7      -.-  1.6  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.11 13:26:40  40.3225   36.6187        4.9      -.-  1.6  -.-   HASANBABA-(TOKAT)                                 Quick
2022.04.11 12:58:18  35.2755   25.3237       14.9      -.-  2.2  -.-   GIRIT ADASI (MEDITERRANEAN SEA)                   Quick
2022.04.11 12:04:49  35.3553   25.3082        5.1      -.-  2.4  -.-   GIRIT ADASI (MEDITERRANEAN SEA)                   Quick
2022.04.11 11:31:07  36.8447   38.2473        5.0      -.-  1.9  -.-   YUMURTALIK-SURUC (SANLIURFA)                      Quick
2022.04.11 11:08:40  37.0355   28.3980       20.2      -.-  1.2  -.-   ATAKOY-ULA (MUGLA)                                Quick
2022.04.11 10:44:41  37.0302   28.3852       27.9      -.-  1.8  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.11 10:18:20  38.7923   26.6543        7.9      -.-  2.1  -.-   CANDARLI KORFEZI (AEGEAN SEA)                     Quick
2022.04.11 09:40:33  35.2262   27.0197        7.5      -.-  2.9  -.-   GIRIT ADASI (MEDITERRANEAN SEA)                   Quick
2022.04.11 09:37:16  36.9767   28.9522        5.4      -.-  2.4  -.-   AKKOPRU-KOYCEGIZ (MUGLA)                          Quick
2022.04.11 09:33:10  36.6725   28.3907        1.5      -.-  1.8  -.-   GUNLUCE ACIKLARI-MUGLA (MEDITERRANEAN SEA)        Quick
2022.04.11 08:45:43  37.0947   36.5928        0.0      -.-  1.6  -.-   KUSCUMUSTAFA-ISLAHIYE (GAZIANTEP)                 Quick
2022.04.11 07:18:13  36.2857   29.6973        5.4      -.-  2.0  -.-   UGRAR-KAS (ANTALYA)                               Quick
2022.04.11 06:35:29  38.1513   38.7152        5.0      -.-  1.9  -.-   YAZICA-PUTURGE (MALATYA)                          Quick
2022.04.11 06:03:55  37.3567   35.0823        9.8      -.-  1.0  -.-   CUKUR-KARAISALI (ADANA)                           Quick
2022.04.11 06:00:13  38.2775   28.6450        8.2      -.-  1.7  -.-   HACIALILER-ALASEHIR (MANISA)                      Quick
2022.04.11 05:58:10  37.0305   28.4465       15.3      -.-  1.6  -.-   KIZILYAKA-ULA (MUGLA)                             Quick
2022.04.11 05:51:06  36.7838   28.0357       11.7      -.-  1.5  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.11 05:46:01  36.8268   28.0388       12.3      -.-  2.0  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.11 05:00:05  37.8205   27.3232        5.1      -.-  1.9  -.-   KIRAZLI-KUSADASI (AYDIN)                          Quick
2022.04.11 03:34:56  40.2727   36.3582        1.5      -.-  3.5  3.4   KUCUKBAGLAR-(TOKAT)                               Quick
2022.04.11 02:55:41  38.3788   23.4668        4.2      -.-  2.5  -.-   YUNANISTAN                                        Quick
2022.04.11 02:55:18  39.5332   25.9195       11.2      -.-  1.7  -.-   GULPINAR ACIKLARI-CANAKKALE (AEGEAN SEA)          Quick
2022.04.11 01:34:35  42.4265   40.9208       30.8      -.-  3.8  3.8   GURCISTAN ACIKLARI (KARADENIZ)                    Quick
2022.04.11 01:26:26  37.7778   27.9793       11.4      -.-  1.6  -.-   YAGCILAR-(AYDIN)                                  Quick
2022.04.11 01:19:10  36.9580   27.6512        7.5      -.-  2.5  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.11 01:17:09  36.9808   27.6210       12.9      -.-  1.4  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.11 00:43:31  37.0415   28.4262       15.8      -.-  1.3  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.10 23:45:52  39.7837   41.7448       17.9      -.-  1.3  -.-   EYUPLER-KOPRUKOY (ERZURUM)                        Quick
2022.04.10 23:39:10  37.0385   28.4360       10.7      -.-  1.5  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.10 23:33:36  36.0940   29.0717       13.3      -.-  1.9  -.-   MEDITERRANEAN SEA                                 Quick
2022.04.10 23:23:36  38.9917   28.0010        5.4      -.-  1.5  -.-   DOGANKAYA-AKHISAR (MANISA)                        Quick
2022.04.10 22:56:22  38.0868   38.4452        4.7      -.-  2.2  -.-   KARAGOL-CELIKHAN (ADIYAMAN)                       Quick
2022.04.10 22:02:36  35.7253   31.9622       13.7      -.-  2.1  -.-   MEDITERRANEAN SEA                                 Quick
2022.04.10 21:46:07  37.7155   27.0528       10.1      -.-  2.0  -.-   SISAM ADASI (AEGEAN SEA)                          Quick
2022.04.10 19:50:24  38.9790   43.7137        9.1      -.-  2.5  -.-   ACIKYOL-MURADIYE (VAN)                            Quick
2022.04.10 19:34:39  39.6902   26.0973       13.0      -.-  2.2  -.-   TAVAKLI ACIKLARI-CANAKKALE (AEGEAN SEA)           Quick
2022.04.10 18:57:18  34.3805   25.6858       83.9      -.-  3.4  3.4   GIRIT ADASI ACIKLARI (MEDITERRANEAN SEA)          Quick
2022.04.10 18:22:14  40.7735   27.4628       16.7      -.-  2.7  -.-   YENIKOY-(TEKIRDAG)                                Quick
2022.04.10 18:06:45  37.0112   28.3715        9.9      -.-  1.7  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.10 18:02:34  37.0157   28.4015        8.1      -.-  1.9  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.10 18:01:45  38.5763   32.0000        5.7      -.-  2.2  -.-   BUYUKOBA-ILGIN (KONYA)                            Quick
2022.04.10 15:49:41  38.1517   38.6752        5.0      -.-  3.8  -.-   BASMEZRA-PUTURGE (MALATYA)                        Quick
2022.04.10 15:33:19  39.9288   39.5255        6.4      -.-  2.7  -.-   BELENLI-KELKIT (GUMUSHANE)                        Quick
2022.04.10 14:42:13  38.3143   38.8728       21.2      -.-  2.0  -.-   CIGIRLI-PUTURGE (MALATYA)                         Quick
2022.04.10 13:30:14  37.0348   28.4670       15.1      -.-  2.0  -.-   PORTAKALLIK-ULA (MUGLA)                           Quick
2022.04.10 10:24:13  39.5028   28.9020        4.3      -.-  1.7  -.-   DEMIRCILER-DURSUNBEY (BALIKESIR)                  Quick
2022.04.10 09:37:03  37.1193   27.9272        0.0      -.-  1.8  -.-   SEKKOY-MILAS (MUGLA)                              Quick
2022.04.10 08:48:30  39.2960   41.3465        7.0      -.-  1.3  -.-   TASLIYAYLA-VARTO (MUS)                            Quick
2022.04.10 08:21:42  37.0435   28.4107       10.3      -.-  1.2  -.-   ATAKOY-ULA (MUGLA)                                Quick
2022.04.10 07:22:25  38.1505   38.6132        3.9      -.-  1.6  -.-   TEKEDERESI-PUTURGE (MALATYA)                      Quick
2022.04.10 07:10:45  38.1385   38.6638        2.4      -.-  1.8  -.-   BASMEZRA-PUTURGE (MALATYA)                        Quick
2022.04.10 06:49:08  37.1705   36.1937        5.0      -.-  2.3  -.-   KAZMACA-(OSMANIYE)                                Quick
2022.04.10 06:03:56  37.0145   28.3890        8.3      -.-  1.1  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.10 06:03:20  39.2115   39.7938       10.2      -.-  2.4  -.-   GERIS-NAZIMIYE (TUNCELI)                          Quick
2022.04.10 05:53:27  40.3917   36.5592        6.2      -.-  1.8  -.-   CAMDERE-(TOKAT)                                   Quick
2022.04.10 05:47:30  38.1647   38.7312       12.7      -.-  2.3  -.-   YAZICA-PUTURGE (MALATYA)                          Quick
2022.04.10 05:45:31  37.0222   28.4015       10.0      -.-  1.7  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.10 05:41:48  36.4330   28.2337        2.2      -.-  1.8  -.-   RODOS ADASI (MEDITERRANEAN SEA)                   Quick
2022.04.10 05:29:53  37.0447   28.4180        7.6      -.-  1.5  -.-   ATAKOY-ULA (MUGLA)                                Quick
2022.04.10 05:26:28  37.0087   28.3695        7.7      -.-  1.5  -.-   SIRINKOY-ULA (MUGLA)                              Quick
